strategyA,strategyB,games,wins_A,wins_B,draws,winRate_A,winRate_B,drawRate
monoRunner,monoRunner,50,1,1,48,0.02,0.02,0.96
monoRunner,monoBrute,50,50,0,0,1,0,0
monoRunner,monoWisp,50,50,0,0,1,0,0
monoRunner,monoTank,50,50,0,0,1,0,0
monoBrute,default,50,0,50,0,0,1,0
monoBrute,rush,50,0,50,0,0,1,0
monoBrute,turtle,50,7,30,13,0.14,0.6,0.26
monoBrute,monoViolet,50,0,50,0,0,1,0
monoBrute,monoYellow,50,0,50,0,0,1,0
monoBrute,monoRed,50,41,8,1,0.82,0.16,0.02
monoBrute,monoGreen,50,0,50,0,0,1,0
monoBrute,monoOrange,50,0,50,0,0,1,0
monoBrute,monoImp,50,0,50,0,0,1,0
monoBrute,monoRunner,50,0,50,0,0,1,0
monoBrute,monoBrute,50,0,0,50,0,0,1
monoBrute,monoWisp,50,50,0,0,1,0,0
monoBrute,monoTank,50,50,0,0,1,0,0
monoWisp,default,50,0,50,0,0,1,0
monoWisp,rush,50,0,50,0,0,1,0
monoWisp,turtle,50,0,47,3,0,0.94,0.06
monoWisp,monoViolet,50,0,50,0,0,1,0
monoWisp,monoYellow,50,0,50,0,0,1,0
monoWisp,monoRed,50,6,40,4,0.12,0.8,0.08
monoWisp,monoGreen,50,0,50,0,0,1,0
monoWisp,monoOrange,50,0,50,0,0,1,0
monoWisp,monoImp,50,0,50,0,0,1,0
monoWisp,monoRunner,50,0,50,0,0,1,0
monoWisp,monoBrute,50,0,50,0,0,1,0
monoWisp,monoWisp,50,0,0,50,0,0,1
monoWisp,monoTank,50,50,0,0,1,0,0
monoTank,default,50,0,50,0,0,1,0
monoTank,rush,50,0,50,0,0,1,0
monoTank,turtle,50,0,50,0,0,1,0
monoTank,monoViolet,50,0,50,0,0,1,0
monoTank,monoYellow,50,0,50,0,0,1,0
monoTank,monoRed,50,0,50,0,0,1,0
monoTank,monoGreen,50,0,50,0,0,1,0
monoTank,monoOrange,50,0,50,0,0,1,0
monoTank,monoImp,50,0,50,0,0,1,0
monoTank,monoRunner,50,0,50,0,0,1,0
monoTank,monoBrute,50,0,50,0,0,1,0
monoTank,monoWisp,50,0,50,0,0,1,0
monoTank,monoTank,50,0,0,50,0,0,1
