strategyA,strategyB,games,wins_A,wins_B,draws,winRate_A,winRate_B,drawRate
monoRed,monoRunner,77,42,25,10,0.5455,0.3247,0.1299
monoRed,default,77,74,1,2,0.961,0.013,0.026
monoRed,monoRed,77,21,26,30,0.2727,0.3377,0.3896
monoRed,turtle,77,16,1,60,0.2078,0.013,0.7792
monoRed,monoBrute,77,0,77,0,0,1,0
monoRed,monoWisp,77,34,34,9,0.4416,0.4416,0.1169
monoRed,monoTank,77,70,2,5,0.9091,0.026,0.0649
turtle,monoBlue,77,0,77,0,0,1,0
turtle,monoViolet,77,0,8,69,0,0.1039,0.8961
turtle,monoGreen,77,0,0,77,0,0,1
turtle,rush,77,0,77,0,0,1,0
turtle,monoYellow,77,0,72,5,0,0.9351,0.0649
turtle,monoImp,77,0,77,0,0,1,0
turtle,monoRunner,77,12,30,35,0.1558,0.3896,0.4545
turtle,default,77,26,14,37,0.3377,0.1818,0.4805
turtle,monoRed,77,0,12,65,0,0.1558,0.8442
turtle,turtle,77,0,0,77,0,0,1
turtle,monoBrute,77,0,74,3,0,0.961,0.039
turtle,monoWisp,77,0,77,0,0,1,0
turtle,monoTank,77,72,0,5,0.9351,0,0.0649
monoBrute,monoBlue,77,0,77,0,0,1,0
monoBrute,monoViolet,77,0,77,0,0,1,0
monoBrute,monoGreen,77,0,77,0,0,1,0
monoBrute,rush,77,0,77,0,0,1,0
monoBrute,monoYellow,77,0,77,0,0,1,0
monoBrute,monoImp,77,0,77,0,0,1,0
monoBrute,monoRunner,77,0,77,0,0,1,0
monoBrute,default,77,2,69,6,0.026,0.8961,0.0779
monoBrute,monoRed,77,77,0,0,1,0,0
monoBrute,turtle,77,77,0,0,1,0,0
monoBrute,monoBrute,77,0,0,77,0,0,1
monoBrute,monoWisp,77,77,0,0,1,0,0
monoBrute,monoTank,77,77,0,0,1,0,0
monoWisp,monoBlue,77,0,77,0,0,1,0
monoWisp,monoViolet,77,0,77,0,0,1,0
monoWisp,monoGreen,77,0,77,0,0,1,0
monoWisp,rush,77,0,77,0,0,1,0
monoWisp,monoYellow,77,0,77,0,0,1,0
monoWisp,monoImp,77,0,77,0,0,1,0
monoWisp,monoRunner,77,0,77,0,0,1,0
monoWisp,default,77,0,77,0,0,1,0
monoWisp,monoRed,77,34,38,5,0.4416,0.4935,0.0649
monoWisp,turtle,77,77,0,0,1,0,0
monoWisp,monoBrute,77,0,77,0,0,1,0
monoWisp,monoWisp,77,0,0,77,0,0,1
monoWisp,monoTank,77,77,0,0,1,0,0
monoTank,monoBlue,77,0,77,0,0,1,0
monoTank,monoViolet,77,0,77,0,0,1,0
monoTank,monoGreen,77,0,77,0,0,1,0
monoTank,rush,77,0,77,0,0,1,0
monoTank,monoYellow,77,0,77,0,0,1,0
monoTank,monoImp,77,0,77,0,0,1,0
monoTank,monoRunner,77,0,77,0,0,1,0
monoTank,default,77,0,77,0,0,1,0
monoTank,monoRed,77,4,67,6,0.0519,0.8701,0.0779
monoTank,turtle,77,1,70,6,0.013,0.9091,0.0779
monoTank,monoBrute,77,0,77,0,0,1,0
monoTank,monoWisp,77,0,77,0,0,1,0
monoTank,monoTank,77,0,0,77,0,0,1
